timestamp,employee_id,working_hours_drift,email_volume_drift,keyboard_cadence_drift,cmd_anomaly_drift
2026-07-11T03:50:42.900846,EMP-7789,-9.61,164.71,-10.05,63.55
2026-07-05T13:34:42.900846,EMP-1114,81.95,15.65,77.34,9.87
2026-07-11T20:00:42.900846,EMP-9078,27.33,28.79,69.7,86.59
2026-07-08T19:48:42.900846,EMP-1865,47.2,148.18,-1.29,23.23
2026-07-10T15:13:42.900846,EMP-4171,100.68,146.62,55.96,80.22
2026-07-05T20:23:42.900846,EMP-5468,5.71,168.12,6.58,67.79
2026-07-06T15:15:42.900846,EMP-1296,88.67,189.81,50.52,70.69
2026-07-08T23:34:42.900846,EMP-6380,16.74,64.66,51.32,75.99
2026-07-10T02:31:42.900846,EMP-3320,6.74,127.72,27.21,64.23
2026-07-11T18:52:42.900846,EMP-2346,106.14,88.41,30.68,5.64
2026-07-11T06:11:42.900846,EMP-4271,33.25,220.04,6.57,30.88
2026-07-08T19:45:42.900846,EMP-7808,-6.54,285.89,43.08,52.23
2026-07-11T22:39:42.900846,EMP-7148,68.87,217.88,49.09,22.99
2026-07-06T14:35:42.900846,EMP-1166,48.95,-12.82,20.79,11.88
2026-07-09T05:24:42.900846,EMP-3568,43.08,178.12,30.89,69.13
2026-07-06T16:35:42.900846,EMP-1560,119.88,-15.62,54.78,2.49
2026-07-04T23:25:42.900846,EMP-8075,98.58,185.14,20.42,19.41
2026-07-10T06:30:42.900846,EMP-3554,27.61,167.06,10.3,73.75
2026-07-08T15:54:42.900846,EMP-4930,78.1,208.75,39.49,41.49
2026-07-08T20:54:42.900846,EMP-5075,86.12,184.92,56.73,74.66
2026-07-07T16:12:42.900846,EMP-2762,21.46,249.83,7.53,45.11
2026-07-05T06:44:42.900846,EMP-1891,105.72,192.99,44.61,79.56
2026-07-07T22:23:42.900846,EMP-7180,78.09,121.46,28.96,3.42
2026-07-11T16:29:42.900846,EMP-8545,27.05,14.75,73.33,88.65
2026-07-07T21:22:42.900846,EMP-2281,86.94,102.37,4.4,79.13
2026-07-08T00:27:42.900846,EMP-6585,42.61,57.36,31.43,82.91
2026-07-10T07:01:42.900846,EMP-1487,-1.31,95.62,-3.96,38.72
2026-07-05T11:13:42.900846,EMP-8755,49.79,144.48,57.95,74.79
2026-07-05T10:52:42.900846,EMP-1401,88.86,34.59,14.27,12.93
2026-07-07T02:55:42.900846,EMP-2877,10.98,216.28,40.61,61.35
2026-07-09T13:40:42.900846,EMP-7518,105.31,273.81,15.37,6.4
2026-07-09T06:22:42.900846,EMP-3212,23.11,20.43,-14.81,4.6
2026-07-09T16:22:42.900846,EMP-6989,85.37,173.02,15.2,36.67
2026-07-11T00:14:42.900846,EMP-4101,102.63,103.86,78.87,93.42
2026-07-06T11:16:42.900846,EMP-3825,81.86,155.87,-3.67,45.58
2026-07-10T17:47:42.900846,EMP-8872,102.52,249.07,8.03,10.42
2026-07-11T22:33:42.900846,EMP-8081,19.31,206.06,62.92,13.36
2026-07-09T21:51:42.900846,EMP-5196,54.69,253.31,37.36,40.79
2026-07-06T09:19:42.900846,EMP-5154,58.7,151.65,-6.69,85.6
2026-07-08T20:21:42.900846,EMP-3576,113.53,128.19,-12.78,7.25
2026-07-05T08:36:42.900846,EMP-5689,48.35,289.31,-11.85,86.37
2026-07-05T07:00:42.900846,EMP-4446,4.36,100.93,54.93,70.16
2026-07-05T12:15:42.900846,EMP-9744,118.68,237.34,3.95,11.88
2026-07-09T17:56:42.900846,EMP-5937,106.3,82.56,23.47,39.58
2026-07-09T07:59:42.900846,EMP-7897,74.2,261.39,32.31,78.49
2026-07-11T08:28:42.900846,EMP-5268,86.3,-3.35,54.23,23.57
2026-07-07T07:25:42.900846,EMP-3204,2.85,218.33,67.06,83.57
2026-07-05T06:08:42.900846,EMP-2647,73.72,-11.71,-5.51,3.09
2026-07-08T14:17:42.900846,EMP-7887,83.88,87.17,-9.89,33.98
2026-07-08T13:21:42.900846,EMP-3352,-9.33,276.41,15.14,91.62
2026-07-07T07:55:42.900846,EMP-1883,54.57,-17.61,29.51,39.46
2026-07-05T17:51:42.900846,EMP-5265,101.28,87.09,79.49,74.02
2026-07-06T21:19:42.900846,EMP-2991,113.24,-10.55,-4.5,9.81
2026-07-08T01:59:42.900846,EMP-9200,99.81,98.58,22.61,23.3
2026-07-07T00:54:42.900846,EMP-5176,101.46,79.98,7.47,26.17
2026-07-09T00:15:42.900846,EMP-3439,43.56,43.46,2.11,44.39
2026-07-09T01:26:42.900846,EMP-5856,6.0,4.36,-4.77,1.23
2026-07-06T01:31:42.900846,EMP-7002,66.52,290.74,68.68,57.66
2026-07-08T21:43:42.900846,EMP-3329,68.04,286.08,78.37,24.31
